"";"mean";"sd";"5.5%";"94.5%";"rhat";"ess_bulk"
"z_rNV_T[144]";0,23534419245972;0,175060309864541;-0,042859343;0,508689530000001;1,03687422855196;405,752329663555
"z_rNV_T[145]";0,7540961052;0,173333100906971;0,48168926;1,035381;1,03829059060405;425,313140374462
"z_rNV_T[146]";-0,550304669866;0,173433598049842;-0,831070025;-0,26983942;1,03455333075967;460,147358726639
"z_rNV_T[147]";-1,2612808452;0,174239346800549;-1,5438087;-0,985033525;1,03706633149639;428,278378804795
"z_rNV_T[148]";0,099599192883288;0,179364932940488;-0,188882645;0,38717408;1,02850946501584;521,380672318224
"z_rNV_T[149]";0,29306096427798;0,172476004683554;0,023353203;0,571014835;1,0362998925532;443,386232541143
"z_rNV_T[150]";0,54983152164;0,177509464085877;0,26516902;0,832002475;1,03373028140256;447,184298019714
"z_rNV_T[151]";0,444378244608;0,170734633334852;0,171326895;0,722949605;1,03469539007966;394,360176225287
"z_rNV_T[152]";-0,2629357470784;0,181561249437217;-0,549254365;0,02801005;1,03169600342679;461,324326523806
"z_rNV_T[153]";-0,453418155414;0,179946408982828;-0,744247085;-0,168367935;1,0285697935754;518,030335415433
"z_rNV_T[154]";1,1065569754;0,176198412902172;0,82725898;1,39153165;1,03916692402442;400,33984956714
"z_rNV_T[155]";0,402715146668;0,176161131855584;0,12627935;0,685824935;1,0416777179505;321,117691527681
"z_rNV_T[156]";0,0909204104434;0,17412636688485;-0,18617532;0,37212105;1,04311141226673;388,196188616802
"z_rNV_T[157]";0,2655032587898;0,180194542207824;-0,022249897;0,555680885000001;1,03580795485009;449,090256015103
"z_rNV_T[158]";0,01272295912552;0,17362509167629;-0,261083045;0,288258045;1,0323429375253;468,163992451263
"z_rNV_T[159]";0,09155534680952;0,176488753206272;-0,189537715;0,372359815;1,03846415132621;369,221853011839
"z_rNV_T[160]";0,054555993893032;0,173946881706765;-0,2185743;0,338837355;1,03941268885656;367,921065344315
"z_rNV_T[161]";-0,60461301798;0,174631365150061;-0,87969032;-0,325652835;1,03724461817277;447,526833590907
"z_rNV_T[162]";-0,3601943372372;0,173581128617778;-0,638556595;-0,0772105455;1,03608867627157;423,017971912509
"z_rNV_T[163]";-0,23563411549072;0,17427301364603;-0,518953215;0,0416413220000001;1,03691859258839;405,171104848322
"z_rNV_T[164]";0,9148559578;0,177038566180589;0,624962965;1,19405685;1,03779956340861;402,377112104335
"z_rNV_T[165]";-0,458094070704;0,177480243975504;-0,735846905;-0,177271675;1,03264010837869;474,013068410176
"z_rNV_T[166]";0,14286374846976;0,179805531258421;-0,147243605;0,426719495;1,03691138056849;421,976118977111
"z_rNV_T[167]";0,00696957393596;0,173727575417622;-0,27036402;0,28679049;1,04040016995009;363,200125859533
"z_rNV_T[168]";-0,8200585962;0,178207777677644;-1,10446055;-0,53703147;1,03335588593638;466,60030629039
"z_rNV_T[169]";-0,1177272657045;0,180323344575157;-0,40653418;0,17279899;1,03238717806501;477,447757646395
"z_rNV_T[170]";-1,0964212572;0,175803636640076;-1,3774366;-0,811816215;1,03672748076844;435,67728399549
"z_rNV_T[171]";0,51570859176;0,175639844659122;0,23861724;0,795980505;1,03716989578095;398,702961632173
"z_rNV_T[172]";-0,026531071844438;0,178558004590697;-0,314015585;0,25391428;1,03632719691421;413,080275415913
"z_rNV_T[173]";0,027670110556238;0,176679369216326;-0,260268605;0,309391785;1,03390828942493;417,883623289392
"z_rNV_T[174]";-0,16253842687958;0,183307701624899;-0,455686345;0,127735055;1,03387169015013;435,264896702514
